aX,aY,aZ,gX,gY,gZ
0.071,-0.656,0.821,-22.034,-48.096,93.384
0.040,-0.633,0.822,-15.320,-43.640,97.595
-0.001,-0.601,0.823,-9.888,-40.222,100.403
-0.026,-0.560,0.805,-5.676,-38.147,101.013
-0.042,-0.528,0.782,-4.456,-39.063,100.281
-0.057,-0.500,0.757,-8.179,-41.626,97.961
-0.081,-0.488,0.721,-14.465,-43.823,94.727
-0.111,-0.467,0.700,-18.372,-45.959,92.651
-0.126,-0.450,0.691,-17.639,-46.814,92.041
-0.170,-0.439,0.711,-14.221,-47.607,92.712
-0.224,-0.406,0.763,-12.390,-49.255,94.421
-0.296,-0.421,0.778,-7.568,-52.612,94.971
-0.313,-0.399,0.818,-5.554,-50.781,93.750
-0.344,-0.396,0.822,-5.554,-47.607,91.248
-0.365,-0.390,0.821,-8.545,-45.959,87.219
-0.395,-0.390,0.823,-14.404,-44.067,82.642
-0.410,-0.390,0.827,-18.555,-42.664,77.515
-0.436,-0.374,0.845,-20.020,-42.664,74.158
-0.452,-0.358,0.863,-17.212,-40.710,71.472
-0.468,-0.351,0.868,-13.428,-36.987,69.824
-0.492,-0.325,0.873,-11.719,-35.339,68.848
-0.510,-0.290,0.863,-10.315,-34.424,67.505
-0.512,-0.276,0.860,-9.644,-32.898,64.819
-0.531,-0.273,0.876,-9.705,-33.936,61.584
-0.547,-0.265,0.912,-8.362,-34.302,57.373
-0.517,-0.273,0.921,-5.249,-29.724,52.429
-0.483,-0.299,0.910,-4.578,-25.452,48.767
-0.468,-0.324,0.894,-6.836,-24.719,45.776

0.629,-0.890,0.695,28.442,53.284,-81.482
0.693,-0.901,0.719,25.024,51.208,-78.857
0.762,-0.906,0.723,20.813,46.875,-76.355
0.849,-0.917,0.714,14.343,41.321,-74.951
0.922,-0.936,0.692,8.362,34.973,-73.120
0.976,-0.967,0.678,5.859,28.503,-69.397
1.008,-0.998,0.684,6.226,22.583,-63.171
1.042,-1.016,0.689,8.789,17.700,-54.688
1.071,-1.053,0.699,10.864,13.000,-45.654
1.089,-1.106,0.708,10.925,6.775,-37.048
1.103,-1.168,0.718,9.460,1.282,-29.785
1.123,-1.241,0.709,5.127,-2.380,-22.461
1.154,-1.301,0.650,-2.808,-4.395,-12.939
1.183,-1.327,0.583,-13.123,-7.202,-0.854
1.190,-1.336,0.514,-19.958,-10.559,13.733
1.151,-1.327,0.454,-23.132,-13.245,30.457
1.082,-1.282,0.420,-24.475,-16.724,47.791
1.000,-1.216,0.418,-23.071,-23.010,64.087
0.922,-1.142,0.433,-20.386,-32.104,78.674
0.836,-1.066,0.473,-18.188,-41.382,91.309
0.738,-0.987,0.534,-15.930,-50.781,102.173
0.622,-0.906,0.608,-13.977,-60.242,110.596
0.504,-0.844,0.684,-12.756,-66.284,115.234
0.384,-0.796,0.766,-13.733,-69.275,116.394
0.298,-0.761,0.820,-17.334,-71.716,114.868
0.226,-0.758,0.848,-23.010,-74.097,112.061
0.152,-0.780,0.868,-29.175,-76.050,110.229
0.097,-0.780,0.887,-31.494,-76.111,111.145
0.061,-0.779,0.884,-29.968,-74.768,113.525
0.016,-0.778,0.881,-28.198,-74.951,116.211
-0.031,-0.754,0.889,-28.259,-74.768,118.164
-0.072,-0.744,0.875,-29.236,-72.510,119.141
-0.115,-0.729,0.849,-31.311,-71.533,119.812
-0.142,-0.703,0.825,-33.264,-71.350,120.056
-0.175,-0.687,0.801,-34.546,-70.496,118.713
-0.213,-0.688,0.777,-34.851,-68.909,116.577
-0.233,-0.669,0.733,-34.485,-64.819,114.624
-0.232,-0.648,0.707,-33.630,-63.110,112.183
-0.239,-0.648,0.703,-33.203,-65.063,109.741
-0.243,-0.655,0.711,-33.752,-66.650,108.215
-0.258,-0.635,0.712,-34.912,-65.674,108.643
-0.276,-0.597,0.693,-34.729,-61.401,110.779
-0.303,-0.533,0.664,-33.386,-55.542,114.014
-0.328,-0.454,0.643,-28.625,-50.598,116.821
-0.340,-0.364,0.631,-21.423,-46.753,117.371
-0.350,-0.300,0.650,-15.076,-44.373,114.136
-0.375,-0.276,0.667,-12.939,-44.006,106.995
-0.417,-0.280,0.671,-15.503,-44.922,96.863
-0.417,-0.308,0.658,-20.325,-44.556,86.304
-0.408,-0.363,0.648,-23.743,-44.067,77.148
-0.393,-0.422,0.659,-27.588,-46.509,73.303
-0.401,-0.470,0.687,-29.846,-48.523,75.378
-0.420,-0.500,0.716,-28.076,-46.082,80.811
-0.439,-0.510,0.740,-24.475,-39.551,86.975
-0.513,-0.500,0.755,-23.743,-32.715,92.407
-0.592,-0.472,0.776,-25.208,-25.757,96.497
-0.659,-0.444,0.776,-25.024,-20.142,96.619
-0.678,-0.402,0.732,-24.109,-17.395,93.445
-0.683,-0.358,0.724,-23.376,-19.348,88.074
-0.715,-0.345,0.722,-19.043,-24.475,81.787
-0.702,-0.314,0.757,-9.399,-26.489,76.660
-0.690,-0.282,0.773,-0.610,-24.780,72.205
-0.704,-0.249,0.802,3.052,-24.475,69.702
-0.744,-0.197,0.841,6.714,-25.208,67.139
-0.760,-0.173,0.866,12.512,-23.376,63.293
-0.757,-0.170,0.854,14.404,-23.926,58.655
-0.781,-0.189,0.853,10.254,-29.602,53.223
-0.791,-0.175,0.904,0.427,-35.583,47.974
-0.786,-0.181,0.932,-4.333,-36.194,42.969
-0.771,-0.202,0.941,-3.296,-31.982,37.415
-0.769,-0.210,0.951,-2.258,-27.222,33.997
-0.776,-0.190,0.949,-0.427,-22.095,31.799
-0.776,-0.165,0.943,2.258,-16.602,29.846
-0.770,-0.151,0.946,2.930,-14.648,26.855
-0.763,-0.136,0.968,2.625,-16.418,22.583
-0.768,-0.127,1.004,2.136,-17.944,18.494
-0.758,-0.117,1.021,1.770,-16.357,14.771
-0.754,-0.104,1.021,0.977,-13.977,11.658
-0.763,-0.093,1.031,0.366,-13.489,8.850
-0.768,-0.087,1.046,1.465,-13.550,5.676
-0.748,-0.082,1.049,4.211,-11.108,2.014
-0.703,-0.096,1.050,5.798,-6.958,-1.587
-0.656,-0.122,1.067,5.188,-4.700,-5.249
-0.618,-0.156,1.077,3.723,-3.357,-9.277
-0.571,-0.206,1.063,0.183,0.366,-13.611
-0.510,-0.258,1.022,-4.211,3.723,-17.334
-0.452,-0.308,0.997,-8.240,4.456,-20.142
-0.417,-0.358,0.973,-11.292,5.554,-21.484
