aX,aY,aZ,gX,gY,gZ
0.304,0.504,0.816,-0.732,2.258,0.305
0.313,0.517,0.803,1.038,4.517,-1.038
0.319,0.519,0.793,1.709,6.042,-1.648
0.317,0.530,0.787,2.747,6.653,-2.563
0.323,0.543,0.772,4.089,8.728,-2.136
0.335,0.544,0.766,4.761,11.414,-1.648
0.345,0.544,0.764,4.517,13.306,-1.587
0.355,0.549,0.771,4.456,13.977,-1.648
0.372,0.564,0.771,3.967,13.123,-2.258
0.357,0.551,0.780,2.197,10.010,-4.272
0.336,0.542,0.783,1.343,6.470,-5.371
0.325,0.541,0.777,2.319,5.371,-3.235
0.328,0.527,0.777,2.930,4.456,-0.793
0.335,0.518,0.782,3.174,2.136,1.709
0.336,0.518,0.781,3.601,-0.122,4.333
0.343,0.515,0.779,3.540,-1.709,5.554
0.349,0.508,0.771,3.357,-1.892,6.409
0.351,0.496,0.767,2.869,-1.282,6.531
0.352,0.490,0.769,2.136,-0.122,6.470
0.352,0.491,0.779,1.404,1.343,6.165
0.347,0.490,0.790,1.221,2.136,5.249
0.339,0.481,0.791,2.380,2.502,4.700
0.343,0.481,0.787,4.272,2.319,4.761
0.346,0.483,0.782,6.165,1.709,5.005
0.337,0.477,0.779,7.019,1.831,5.615
0.345,0.479,0.774,8.118,2.441,6.348
0.354,0.487,0.766,9.155,3.235,6.226
0.352,0.491,0.756,9.827,3.967,5.371
0.346,0.498,0.756,11.047,3.906,3.845
0.352,0.508,0.752,13.062,4.517,2.258
0.349,0.524,0.745,15.503,5.432,0.427
0.346,0.532,0.751,18.921,5.920,-2.075
0.339,0.535,0.739,20.874,6.287,-4.456
0.319,0.528,0.731,22.949,6.775,-6.653
0.312,0.532,0.708,26.245,9.338,-6.470
0.314,0.535,0.696,30.090,13.184,-4.822
0.333,0.524,0.704,32.959,16.846,-3.723
0.348,0.499,0.715,33.508,18.372,-3.601
0.347,0.470,0.729,31.616,17.456,-4.089
0.336,0.447,0.754,29.114,15.991,-3.662
0.333,0.431,0.765,27.771,14.343,-2.625

0.240,-0.637,1.986,-49.072,0.244,4.578
0.208,-0.698,2.039,-38.269,9.583,-4.822
0.182,-0.772,1.930,-18.188,20.874,-14.587
0.172,-0.840,1.731,6.653,27.832,-16.968
0.197,-0.892,1.516,23.987,25.635,-10.864
0.238,-0.944,1.309,25.085,14.038,3.601
0.289,-1.016,1.141,13.062,-2.869,25.085
0.358,-1.067,1.014,-5.615,-21.301,47.729
0.484,-1.071,0.932,-25.085,-34.851,65.979
0.640,-1.028,0.862,-42.236,-39.673,74.585
0.750,-0.963,0.783,-54.382,-37.354,70.557
0.798,-0.877,0.674,-62.561,-29.541,51.697
0.765,-0.764,0.522,-69.824,-15.137,20.508
0.678,-0.589,0.335,-75.500,5.371,-11.719
0.622,-0.346,0.183,-79.651,29.297,-36.438
0.590,-0.026,0.076,-84.778,46.265,-51.819
0.489,0.292,0.002,-90.637,48.645,-61.279
0.454,0.613,-0.049,-92.957,38.025,-62.134
0.417,0.916,-0.063,-92.957,21.973,-54.688
0.405,1.213,-0.055,-91.248,5.066,-46.814
0.328,1.481,-0.021,-89.661,-7.019,-44.006
0.215,1.618,0.050,-89.539,-11.963,-46.204
0.250,1.663,0.127,-88.562,-11.597,-40.955
0.228,1.813,0.215,-79.346,-16.724,-25.513
0.187,1.931,0.263,-63.965,-24.414,-18.005
0.183,1.907,0.246,-52.246,-27.161,-21.606
0.079,1.901,0.264,-44.556,-29.480,-29.053
0.003,1.855,0.286,-37.170,-32.715,-36.438
0.056,1.731,0.314,-35.034,-26.611,-35.278
0.058,1.608,0.362,-35.706,-29.053,-23.132
0.053,1.496,0.404,-33.936,-45.654,-14.404
0.047,1.307,0.433,-31.128,-63.538,-5.798
0.108,1.128,0.409,-28.320,-71.838,8.789
0.159,0.989,0.390,-25.635,-76.416,22.339
0.200,0.901,0.384,-25.635,-75.806,26.794
0.208,0.851,0.403,-28.381,-64.880,19.470
0.197,0.814,0.450,-31.982,-44.861,2.991
0.159,0.773,0.522,-34.729,-22.095,-14.404
0.149,0.724,0.605,-34.729,-2.502,-26.550
0.174,0.684,0.694,-31.921,10.681,-30.518
0.179,0.691,0.790,-25.269,18.616,-28.748
0.239,0.685,0.844,-15.991,24.536,-25.146
0.308,0.666,0.886,-7.935,29.480,-21.912
0.330,0.640,0.911,-1.465,31.189,-20.508
0.349,0.594,0.906,3.967,29.846,-17.883
0.388,0.529,0.872,7.629,26.611,-9.705
0.410,0.481,0.834,9.460,19.165,0.916
0.422,0.454,0.805,9.033,9.766,8.423
0.444,0.425,0.786,6.165,3.601,13.000
0.475,0.394,0.757,2.930,1.038,17.334
0.503,0.370,0.730,-1.099,-0.916,19.287
0.522,0.371,0.721,-6.104,-3.662,18.005
0.510,0.385,0.724,-10.010,-5.920,14.099
0.481,0.408,0.726,-11.963,-5.432,7.263
0.445,0.439,0.726,-12.451,-2.991,0.122
0.427,0.466,0.733,-12.146,-0.061,-5.493
0.395,0.492,0.749,-10.925,1.282,-9.338
0.366,0.513,0.762,-7.935,0.244,-11.414
0.355,0.542,0.759,-3.479,-2.380,-11.353
0.339,0.554,0.769,-0.305,-5.310,-9.644
0.318,0.531,0.774,2.197,-7.812,-7.812
0.297,0.529,0.760,4.944,-10.315,-6.287
0.277,0.536,0.740,6.226,-11.902,-5.981
0.259,0.535,0.733,4.944,-12.085,-5.859
0.251,0.530,0.748,1.343,-11.292,-5.249
0.253,0.531,0.776,-1.831,-9.888,-4.211
0.253,0.528,0.797,-4.028,-8.057,-3.113
0.245,0.536,0.803,-5.249,-6.042,-2.319
0.225,0.543,0.811,-6.042,-4.639,-1.282
0.213,0.545,0.823,-6.470,-3.967,0.427
0.219,0.543,0.825,-5.310,-3.845,3.418
0.223,0.545,0.823,-3.723,-4.639,6.897
0.220,0.551,0.829,-2.502,-5.798,8.667
0.245,0.555,0.837,-1.160,-5.859,9.155
0.266,0.544,0.834,0.122,-4.517,8.667
0.257,0.540,0.828,0.671,-4.333,7.080
0.241,0.542,0.817,1.526,-4.700,5.249
0.225,0.550,0.809,2.686,-3.784,3.601
0.215,0.563,0.804,3.967,-2.319,1.892
0.208,0.574,0.812,5.005,-0.305,0.244
0.207,0.581,0.810,6.897,2.686,-0.610
0.202,0.601,0.800,9.399,5.249,-0.610
0.211,0.610,0.796,10.742,6.409,-0.854
0.223,0.594,0.794,11.169,6.470,-1.038
0.226,0.575,0.781,11.780,5.005,0.244
0.238,0.566,0.769,12.573,3.418,3.235
0.258,0.548,0.764,11.719,2.319,6.226
0.297,0.532,0.769,9.644,1.282,7.141
0.310,0.510,0.774,6.897,0.366,6.226
0.309,0.501,0.770,5.005,0.916,4.333
0.303,0.507,0.761,4.700,3.113,2.747
0.295,0.504,0.756,4.639,5.859,1.282
0.296,0.495,0.756,4.578,7.812,0.549
0.296,0.489,0.763,5.310,7.751,0.610
0.299,0.489,0.773,6.531,6.592,1.465
0.308,0.485,0.784,7.385,5.737,2.136
0.319,0.475,0.792,8.484,5.737,1.282
0.311,0.475,0.793,9.399,7.629,0.000
0.306,0.490,0.794,10.742,8.728,-3.113
0.300,0.493,0.786,11.230,12.024,-6.836
0.281,0.492,0.774,10.925,15.137,-9.583
0.262,0.502,0.770,10.254,14.587,-11.230
0.239,0.500,0.774,9.338,13.672,-9.705
0.237,0.502,0.773,9.766,12.939,-4.944
0.234,0.502,0.775,10.376,10.315,0.793
0.240,0.502,0.793,11.169,7.385,7.019
0.258,0.493,0.789,12.939,4.883,12.085
0.270,0.500,0.770,14.343,1.831,14.343
0.260,0.514,0.760,14.709,-0.916,14.221
0.247,0.526,0.749,14.526,-1.465,12.573
0.245,0.523,0.734,13.550,0.427,10.315
0.229,0.529,0.731,12.756,2.930,8.301
0.217,0.542,0.729,13.611,5.859,6.165
0.219,0.560,0.719,14.954,9.583,4.883
0.217,0.579,0.733,17.395,13.062,4.272
0.269,0.603,0.734,22.400,16.479,4.150
0.280,0.615,0.729,25.818,18.311,3.418
0.280,0.597,0.729,28.137,17.883,0.977
0.283,0.562,0.727,30.701,17.517,0.916

0.761,-0.429,1.499,-56.824,-9.277,-1.160
0.569,-0.708,1.685,-72.266,-9.827,-7.263
0.263,-1.068,1.900,-91.980,-10.498,-13.245
-0.153,-1.411,2.136,-112.427,-12.024,-14.832
-0.574,-1.665,2.269,-130.188,-9.216,-15.320
-0.913,-1.825,2.224,-134.827,4.456,-8.179
-1.161,-1.984,2.124,-127.930,31.372,10.376
-1.171,-2.092,2.084,-124.939,64.270,37.659
-0.945,-2.077,1.950,-125.916,97.290,79.895
-0.425,-1.884,1.742,-134.155,121.765,136.536
0.033,-1.528,1.536,-165.588,124.695,181.458
0.452,-1.060,1.244,-189.941,116.516,203.369
1.138,-0.530,1.062,-186.462,103.394,215.820
1.475,-0.160,0.942,-171.143,73.120,191.223
1.245,0.330,0.508,-136.169,35.889,115.173
0.853,0.825,-0.237,-85.571,44.189,30.762
0.376,1.130,-0.874,-57.739,95.703,-34.058
-0.104,1.471,-1.132,-64.514,131.775,-67.993
-0.378,1.856,-1.116,-81.726,120.789,-61.157
-0.514,2.161,-1.006,-89.050,81.055,-29.907
-0.552,2.401,-0.869,-80.505,30.945,-3.235
-0.568,2.456,-0.809,-63.965,-3.906,-6.531
-0.701,2.450,-0.846,-40.771,-10.132,-30.518
-0.741,2.323,-0.844,-24.780,10.315,-49.561
-0.699,2.076,-0.714,-26.917,29.541,-50.903
-0.550,1.864,-0.478,-34.912,29.175,-34.790
-0.340,1.686,-0.228,-35.706,15.259,-7.690
0.010,1.476,-0.109,-28.137,4.395,18.433
0.303,1.298,-0.062,-17.517,-2.136,34.485
0.471,1.149,-0.074,-9.460,-2.930,32.654
0.575,0.994,-0.080,-7.141,7.202,20.447
0.625,0.923,-0.014,-10.193,17.578,8.789
0.674,0.867,0.048,-10.132,23.010,-5.310
0.615,0.855,0.118,-13.123,28.442,-8.484
0.588,0.843,0.204,-15.991,21.179,-11.230
0.496,0.897,0.221,-18.677,22.827,-9.338
0.605,0.885,0.342,-19.836,32.776,-6.714
0.581,0.885,0.501,-21.484,23.437,-8.972
0.569,0.854,0.569,-15.198,14.587,-9.827
0.606,0.807,0.600,-6.042,12.817,-4.700
0.632,0.773,0.595,4.272,9.033,-0.244
