aX,aY,aZ,gX,gY,gZ
-0.519,-0.054,0.450,14.038,-110.657,39.368
-0.556,-0.049,0.465,16.235,-106.812,36.255
-0.581,-0.053,0.458,17.578,-103.333,33.997
-0.633,-0.080,0.451,19.104,-101.685,32.104
-0.688,-0.091,0.426,23.437,-101.746,32.349
-0.732,-0.129,0.456,29.297,-99.731,36.438
-0.826,-0.117,0.458,36.682,-98.022,43.030
-0.854,-0.071,0.483,49.866,-90.637,50.049
-0.872,-0.040,0.506,64.270,-75.867,55.908
-0.869,-0.005,0.534,76.599,-63.293,56.274
-0.824,-0.043,0.531,83.862,-54.993,49.194
-0.765,-0.139,0.504,78.735,-53.589,34.424
-0.756,-0.240,0.469,63.904,-62.683,14.648
-0.779,-0.333,0.437,48.523,-74.463,-1.221
-0.807,-0.402,0.398,38.452,-82.886,-5.432
-0.840,-0.485,0.362,35.950,-86.426,0.244
-0.864,-0.560,0.321,38.696,-87.769,12.451
-0.901,-0.616,0.290,43.396,-90.698,26.794
-0.944,-0.664,0.256,49.866,-92.834,40.649
-0.983,-0.710,0.242,55.847,-92.529,50.476
-1.021,-0.740,0.249,61.890,-89.050,52.917
-1.037,-0.768,0.268,65.369,-81.055,50.232
-1.036,-0.790,0.294,63.721,-73.425,41.992
-1.063,-0.817,0.330,57.739,-66.711,27.771
-0.988,-0.836,0.323,51.575,-59.448,12.756
-1.115,-0.883,0.398,53.345,-55.115,-6.348
-1.149,-0.921,0.492,62.561,-52.917,-18.616

-1.160,-1.033,0.582,92.041,-43.335,-16.541
-1.136,-1.070,0.629,104.187,-37.292,-7.263
-1.144,-1.099,0.656,110.840,-31.372,-3.357
-1.169,-1.122,0.661,109.009,-26.978,-5.554
-1.209,-1.166,0.644,98.206,-22.095,-14.648
-1.253,-1.219,0.647,83.069,-15.625,-29.053
-1.289,-1.275,0.674,70.618,-8.179,-42.053
-1.290,-1.318,0.689,62.134,-0.488,-48.950
-1.307,-1.356,0.698,58.472,5.859,-51.025
-1.315,-1.370,0.718,59.021,11.353,-46.143
-1.312,-1.349,0.733,62.927,19.287,-35.828
-1.302,-1.305,0.738,66.345,30.090,-23.560
-1.290,-1.246,0.738,66.467,41.992,-13.428
-1.258,-1.175,0.726,63.538,54.626,-7.324
-1.195,-1.089,0.704,57.617,68.237,-6.653
-1.154,-1.033,0.666,49.988,81.177,-10.803
-1.104,-0.980,0.633,42.786,92.041,-16.846
-1.039,-0.930,0.590,38.208,102.722,-22.644
-0.986,-0.891,0.555,35.339,110.840,-27.893
-0.959,-0.862,0.538,36.377,115.173,-32.898
-0.900,-0.849,0.547,42.542,118.042,-36.316
-0.900,-0.873,0.564,52.368,121.277,-38.452
-0.845,-0.944,0.548,61.340,123.596,-36.804
-0.875,-1.009,0.557,71.228,126.831,-38.025
-0.864,-1.072,0.569,73.730,130.127,-34.851
-0.858,-1.125,0.550,74.829,138.123,-31.006
-0.838,-1.162,0.525,72.083,147.400,-29.480
-0.804,-1.208,0.504,63.538,154.480,-31.494
-0.782,-1.263,0.477,53.955,158.997,-36.621
-0.742,-1.311,0.435,46.204,162.903,-41.382
-0.699,-1.399,0.355,40.833,166.443,-44.067
-0.656,-1.496,0.260,35.522,168.457,-44.800
